Expediente,Fecha,Nombre,Link
CFP 2111/2010,17/10/2017,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=5864607&tipo=corrupcion-administrativa
CFP 2111/2010,09/10/2017,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 4,scp/include/showFile.php?acc=showFAR&id=5838731&tipo=corrupcion-administrativa
CFP 2111/2010,29/09/2017,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 4,scp/include/showFile.php?acc=showFAR&id=5807189&tipo=corrupcion-administrativa
CFP 2111/2010,08/08/2017,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=5590815&tipo=corrupcion-administrativa
CFP 2111/2010,29/06/2017,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=5479580&tipo=corrupcion-administrativa
CFP 1322/2010,07/03/2018,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=6272691&tipo=corrupcion-administrativa
CFP 1322/2010,08/02/2018,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=6168062&tipo=corrupcion-administrativa
CFP 1322/2010,10/07/2017,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=5516675&tipo=corrupcion-administrativa
CFP 1322/2010,14/02/2017,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=4951647&tipo=corrupcion-administrativa
CFP 1322/2010,14/11/2016,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 2,scp/include/showFile.php?acc=showFAR&id=4824669&tipo=corrupcion-administrativa
CFP 1322/2010,07/11/2016,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 5,scp/include/showFile.php?acc=showFAR&id=4753218&tipo=corrupcion-administrativa
CFP 1322/2010,18/08/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=4491721&tipo=corrupcion-administrativa
CFP 1322/2010,08/05/2014,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=513252&tipo=corrupcion-administrativa
CFP 1322/2010,24/04/2014,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=494695&tipo=corrupcion-administrativa
CFP 1301/2010,05/03/2015,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=1947042&tipo=corrupcion-administrativa
CCC 19888/2009,21/02/2020,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9049393&tipo=corrupcion-administrativa
CCC 19888/2009,17/12/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8924209&tipo=corrupcion-administrativa
CCC 19888/2009,25/11/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8838665&tipo=corrupcion-administrativa
CCC 19888/2009,10/07/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8333877&tipo=corrupcion-administrativa
CCC 19888/2009,07/06/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8213780&tipo=corrupcion-administrativa
CCC 19888/2009,24/10/2018,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=7373524&tipo=corrupcion-administrativa
CCC 19888/2009,28/09/2018,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=7250579&tipo=corrupcion-administrativa
CFP 13648/2009,23/11/2018,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=7505100&tipo=corrupcion-administrativa
CFP 13648/2009,15/12/2017,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=6077333&tipo=corrupcion-administrativa
CFP 13648/2009,19/05/2015,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=3288536&tipo=corrupcion-administrativa
CFP 13408/2009,29/03/2019,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 3,scp/include/showFile.php?acc=showFAR&id=8053179&tipo=corrupcion-administrativa
CFP 13408/2009,15/03/2018,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 3,scp/include/showFile.php?acc=showFAR&id=6322723&tipo=corrupcion-administrativa
CFP 13160/2009,07/10/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=4662819&tipo=corrupcion-administrativa
CFP 13146/2009,15/02/2018,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=6183142&tipo=corrupcion-administrativa
CFP 13146/2009,07/06/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=4305497&tipo=corrupcion-administrativa
CFP 13000/2009,03/05/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8050559&tipo=corrupcion-administrativa
CFP 13000/2009,03/05/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8050833&tipo=corrupcion-administrativa
CFP 13000/2009,15/08/2017,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=5622957&tipo=corrupcion-administrativa
CFP 13000/2009,29/06/2017,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=5479830&tipo=corrupcion-administrativa
CFP 13000/2009,03/11/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=4746101&tipo=corrupcion-administrativa
CFP 12980/2009,01/11/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=4736480&tipo=corrupcion-administrativa
CFP 11766/2009,14/07/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10876963&tipo=corrupcion-administrativa
CFP 11766/2009,07/07/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10854876&tipo=corrupcion-administrativa
CFP 11766/2009,02/06/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10747458&tipo=corrupcion-administrativa
CFP 11766/2009,20/05/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=11709757&tipo=corrupcion-administrativa
CFP 11766/2009,03/05/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=10649180&tipo=corrupcion-administrativa
CFP 11766/2009,30/05/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=4280319&tipo=corrupcion-administrativa
CFP 9575/2009,06/07/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=4400437&tipo=corrupcion-administrativa
CFP 9575/2009,06/07/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=4400424&tipo=corrupcion-administrativa
CFP 9575/2009,06/07/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=4400391&tipo=corrupcion-administrativa
CFP 9575/2009,06/07/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=4400440&tipo=corrupcion-administrativa
CFP 8293/2009,16/06/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=4340572&tipo=corrupcion-administrativa
CFP 7139/2009,22/09/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=11062525&tipo=corrupcion-administrativa
CFP 7139/2009,26/03/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=7875039&tipo=corrupcion-administrativa
CFP 7139/2009,30/10/2017,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=5912098&tipo=corrupcion-administrativa
CFP 7139/2009,09/10/2014,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=1705871&tipo=corrupcion-administrativa
CFP 4315/2009,10/07/2025,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 3,scp/include/showFile.php?acc=showFAR&id=13771802&tipo=corrupcion-administrativa
CFP 4315/2009,03/06/2025,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 3,scp/include/showFile.php?acc=showFAR&id=13655558&tipo=corrupcion-administrativa
CFP 4315/2009,30/10/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 3,scp/include/showFile.php?acc=showFAR&id=12168309&tipo=corrupcion-administrativa
CFP 4315/2009,21/05/2021,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 3,scp/include/showFile.php?acc=showFAR&id=9874257&tipo=corrupcion-administrativa
CFP 4315/2009,07/09/2020,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9373823&tipo=corrupcion-administrativa
CFP 4315/2009,20/08/2020,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9332151&tipo=corrupcion-administrativa
CFP 4315/2009,13/11/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8805850&tipo=corrupcion-administrativa
CFP 4315/2009,20/12/2018,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=7623855&tipo=corrupcion-administrativa
CFP 4315/2009,12/10/2017,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=5852645&tipo=corrupcion-administrativa
CFP 4315/2009,17/03/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=4054240&tipo=corrupcion-administrativa
CFP 4114/2009,11/10/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=4665686&tipo=corrupcion-administrativa
CFP 4114/2009,22/08/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=4501616&tipo=corrupcion-administrativa
CFP 4114/2009,19/11/2015,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=3790468&tipo=corrupcion-administrativa
CFP 2268/2009,12/08/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=4478949&tipo=corrupcion-administrativa
CFP 2268/2009,06/07/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=4397674&tipo=corrupcion-administrativa
CFP 2268/2009,07/06/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=4308364&tipo=corrupcion-administrativa
CFP 2268/2009,07/06/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=4308619&tipo=corrupcion-administrativa
CFP 2268/2009,31/05/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=4286206&tipo=corrupcion-administrativa
CFP 2268/2009,24/02/2015,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=1924833&tipo=corrupcion-administrativa
CFP 2268/2009,02/12/2014,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=1822759&tipo=corrupcion-administrativa
CFP 1909/2009,21/05/2015,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=3296563&tipo=corrupcion-administrativa
CFP 1909/2009,22/12/2014,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=1862438&tipo=corrupcion-administrativa
CFP 17512/2008,22/11/2018,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 8,scp/include/showFile.php?acc=showFAR&id=7501876&tipo=corrupcion-administrativa
CFP 17512/2008,24/05/2018,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=6672749&tipo=corrupcion-administrativa
CFP 17512/2008,03/05/2018,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=6550776&tipo=corrupcion-administrativa
