numero_expediente,fecha,nombre,link
CFP 13816/2018,2019-10-17,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8702469&tipo=corrupcion-administrativa
CFP 13816/2018,2019-10-04,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8660869&tipo=corrupcion-administrativa
CFP 13816/2018,2019-10-04,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8660953&tipo=corrupcion-administrativa
CFP 13816/2018,2019-09-30,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8638907&tipo=corrupcion-administrativa
CFP 13816/2018,2019-07-19,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8371433&tipo=corrupcion-administrativa
CFP 13816/2018,2019-07-02,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8313105&tipo=corrupcion-administrativa
CFP 13816/2018,2019-05-15,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8101398&tipo=corrupcion-administrativa
CFP 13816/2018,2019-05-15,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8101489&tipo=corrupcion-administrativa
CFP 13816/2018,2019-05-15,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8102378&tipo=corrupcion-administrativa
CFP 13816/2018,2019-05-15,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8102424&tipo=corrupcion-administrativa
CFP 13816/2018,2019-04-11,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=7950596&tipo=corrupcion-administrativa
CFP 13816/2018,2019-03-29,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=7892714&tipo=corrupcion-administrativa
CFP 13816/2018,2019-03-29,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=7893073&tipo=corrupcion-administrativa
CFP 13816/2018,2019-03-29,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=7893067&tipo=corrupcion-administrativa
CFP 13816/2018,2019-03-29,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=7893024&tipo=corrupcion-administrativa
CFP 13816/2018,2019-03-20,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=7850374&tipo=corrupcion-administrativa
CFP 13816/2018,2019-03-15,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=7830350&tipo=corrupcion-administrativa
CFP 13816/2018,2019-03-13,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=7818944&tipo=corrupcion-administrativa
CFP 9608/2018,2025-09-09,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=13948044&tipo=corrupcion-administrativa
CFP 9608/2018,2025-08-28,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=13908999&tipo=corrupcion-administrativa
CFP 9608/2018,2024-12-06,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=13214698&tipo=corrupcion-administrativa
CFP 9608/2018,2024-10-18,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=13071936&tipo=corrupcion-administrativa
CFP 9608/2018,2024-08-13,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12870310&tipo=corrupcion-administrativa
CFP 9608/2018,2024-06-26,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12764003&tipo=corrupcion-administrativa
CFP 9608/2018,2024-03-25,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12503942&tipo=corrupcion-administrativa
CFP 9608/2018,2024-03-22,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12531292&tipo=corrupcion-administrativa
CFP 9608/2018,2024-02-29,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12432012&tipo=corrupcion-administrativa
CFP 9608/2018,2023-12-27,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12333401&tipo=corrupcion-administrativa
CFP 9608/2018,2023-12-19,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12308864&tipo=corrupcion-administrativa
CFP 9608/2018,2023-12-12,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12289185&tipo=corrupcion-administrativa
CFP 9608/2018,2023-12-12,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12289135&tipo=corrupcion-administrativa
CFP 9608/2018,2023-12-12,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12288217&tipo=corrupcion-administrativa
